,title
240,"- Милая, ты с лечебной целью бальзам пьешь?
- Нет... С развлекательной..."
241,"Когда у меня нет денег, я пью воду, ем гречку, хожу пешком.
Когда у моих знакомых нет денег, они летят в Египет на 7 дней вместо десяти."
242,Мнение - хитрая штука: можно обменяться мнениями и при этом каждому остаться при своем
243,Люди не ценят заботу и беспокойство о них. А вот если послать их то они обязательно среагируют
244,Непонимание причин женской обиды не освобождает мужчину от ответственности.
245,"— Боря, почему в Вашей машине так ужасно пахнет?

— А что вы хотите? 120 лошадей!"
246,Я знаю один карточный фокус. Это когда на второй день после зарплаты на карте - 0
247,"У каждого своих секреты. Кто-то нюхает кокаин, кто-то убивает людей. Я небезопасно извлекаю флешки."
248,"Свекровь навестила невестку, когда сын был на работе. Всю квартиру обегала с чистым носовым платком в поиске грязи и пыли. Платок стал сомнительного цвета, она показывая его невестке говорит:

— Ну, что родная, есть такая пословица, чтобы под такое безобразие походила?

— Конечно, мамочка: «Свинья грязь найдет!»."
249,"К старости становишься похожим на арбуз: живот растет, а кончик вянет…"
250,"Бесит, что я не умею говорить «нет» там, где стоило бы вообще сказать «иди нах@й»."
251,"- Здравствуйте, это клуб умственно отсталых дегенератов, разучившихся писать? 
- 😂😂😂😂😂😂👍👍👍"
252,"Собрались как-то Заяц, Волк и Хомяк в Китай. Ну и Хомяк спрашивает:-А как нас там будут звать? Заяц:-меня Зуй, Волк:-А меня Вуй, Хомячок:-я наверно в Китай не поеду."
253,"Ты всегда будешь слишком толстой, слишком худой, слишком низкой, слишком высокой, слишком то, слишком это. Тебя будут осуждать до конца жизни, поэтому живи как хочешь. Общество не знает границ."
254,"— Милая, ты ужин приготовила? 
— Да, на кухне на столе. 
— И где? Там ничего нет. 
— Хах. 10 лет вместе живём, а ты до сих пор ведёшся как маленький."
255,"В шоколаде содержатся вещества, помогающие при депрессии – и это доказано… Но я предпочитаю виноград… старый, разлитый по бутылкам!"
256,"— Надо законодательно запретить свистеть. Если свистеть, то денег не будет.
— Спасибо за доклад, министр финансов."
257,"Окончательно озверев от того, что моя жена не умеет готовить, стал присматривать сервис доставки готовой еды. Так они все пишут ""Вкусно, как дома"". И на кой мне это?"
258,"Бытует мнение,что в армии в чай подсыпают бром, дабы уменьшить половое влечение. Поэтому я первые две недели боялся, что в чай бром добавляют и не пил его. А на третью неделю стал пить и надеяться, что его все-таки добавляют."
259,"Была у нас в подъезде соседка, стала представителем Эйвона. Житья от неё не стало, встретит кого-то на лестнице или во дворе — тут же цепляется с рекламой своего товара, не отвяжешься. Даже по квартирам ходила. Встретила меня в очередной раз и снова начала товар свой толкать. А мне идея пришла, говорю, что сейчас денег нет, но есть один коллега, который интересовался, могу организовать встречу. Та, конечно, согласилась. Не сказал только, что коллега — активный представитель Свидетелей Иеговы и всех на работе задолбал беседами. А не уволили его только потому, что он дальний родственник кому-то из начальства. Сказал ему, что есть женщина, которая интересовалась им, могу организовать встречу. 
Как прошла их встреча — не знаю. Но после этого и соседка меня в покое оставила, и коллега со своими беседами от меня отстал😁"
260,"Важная опция, которой не хватает в лифте, это кнопка ""Давай быстрее, я писать хочу""."
261,"- В юности моя жена весила 60 килограмм. И сейчас весы под ней показывают 60 кг.
- Вот это да! Как ей это удается?
- А она на двое весов одновременно становится."
262,"- Штирлиц, какого цвета у меня трусы? - спросил Мюллер.
- Синие в белый горошек, - ответил Штирлиц.
- Вот тут-то вы и попались! - радостно засмеялся Мюллер. - Об этом знала только русская пианистка!
- Застегните ширинку, шеф, иначе об этом узнает все гестапо..."
263,"В гостинице. Англичанин подходит к портье:
- Извините, нельзя ли попоросить у Вас стакан воды?
- Вот он, сэр!
Через полчаса, тот же англичанин:
- Ради Бога, извините, но нельзя ли мне поросить еще один стакан воды?
- Вот он, сэр!
Через пять минут, тот же англичанин:
- Мне очень неудобно, но не были бы Вы добры дать мне еще один стакан воды?..
- Сэр, простите, Вас мучает жажда? Вот Ваш стакан.
- Нет, сэр! У меня горит одеяло."
264,"Жена заглядывает в квартиру из двери балкона и заявляет мужу: 
- Знаешь, мне надоел висящий на стене бумеранг, который ты привёз из Австралии, и я его выбр..."
265,"- Вовочка, что тебе папа подарил на день рождения?
- Четыре рогатки, Марьивана!
- Перестань шутить, я тебя серьезно спрашиваю!
- А я и не шучу! Мой папа - единственный стекольщик во всем районе!"
266,"- Вы спортом занимаетесь? 
- Я дротики кидаю! 
- Вы дротист? 
- В смысле? 
- Ну, дротите? 
- Ну, не без этого. ."
267,"- Люся, я тебя прошу, попробуй меньше ругаться матом.
- Я тебе че, пе@рила какая-то, епта?
- Нет, ты шестилетняя девочка."
268,"Судья говорит:
- Вы утверждаете, что бросали в свою соседку только помидорами?
- Да.
- Тогда как вы обьясните раны на ее теле?
- Помидоры были в банках!"
269,"Самое обидное - это когда ты продумал в голове диалог, а твой собеседник говорит не по тексту."
270,"Положительные эмоции - это эмоции, которые возникают, если на всё положить."
271,"Я не ревнив, нет. Просто у меня богатая фантазия и хорошее логическое мышление."
272,Чудесный сон приснился мне когда-то... четыре грузчика несли мою зарплату.
273,"Новая игра ""Заходит бабушка в автобус"". Итак, заходит бабушка в автобус - город засыпает..."
274,На заводе по производству носков каждое утро не могут найти второй цех.
275,"— У тебя никогда не было желания столкнуть человека на эскалаторе, чтобы все свалились как доминошки? 
— Блин, пока ты не сказал, не было..."
276,"Путь к сердцу мужчины лежит через его желудок - ЧТО ЗА БРЕД??? Вы реально думаете, что он ходит к любовнице, чтобы борща пожрать?"
277,"У того, кто играл в тетрис, нет проблем с расстановкой грязной посуды в раковине"
278,"- А ты где служил?
- На подводной лодке.
- На подводной лодке?
- Да.
- А тебя что, внутрь не пускали?"
279,"У психиатра:
- Доктор, я живу на первом этаже и мне кажется, что водители машин заглядывают ко мне в спальню! Что вы мне посоветуете?
- Поселитесь повыше, но не выше девятого этажа - там обычно летчики заглядывают!"
280,"Почему, когда в объявлении о вакансии пишут ""достойная заработная плата"", не уточняют, что это зарплата, достойная слез, насмешек и сочувствия?"
281,"- Жизнь коротка, искусство вечно!
- Петрович, да ты уже достал: третий час забор докрасить не можешь"
282,"Знакомая работала педиатром. Далее от первого лица:
Приезжаю как-то на вызов к ребенку. Захожу в комнату, мальчик лежит в кровати. Здороваюсь с ним, спрашиваю, что его беспокоит, а он вдруг начинает плакать и кричать:
- Я не вижу!!! Я не вижу!!!
Поворачиваюсь к его несчастной матери и спрашиваю:
- И давно это с ним?
- С того момента, как вы встали между ним и телевизором."
283,"Садится девушка в беспилотное такси и удивляется:
- Ой, как непривычно - автомобиль без водителя!
А машина ей в ответ:
- Знаете, вообще-то я искусственный интеллект для бизнеса, а такси - это так, подработка."
284,"Наша мама громко плачет, что в квартире все свинячат, тише мамочка не плачь, у других такой же срач…"
285,"Не расстраивайтесь, если вас жутко тянет жрать в тёмное время суток – может вы просто жрица ночи!"
286,"Счастье - это когда ты не доказываешь всем, что тебе хорошо, а стараешься промолчать об этом, чтобы не сглазили."
287,"— Шеф!!! Мне нужно в отпуск! 
— С какого? 
— Простите, хера или числа?"
288,"— Уже за полночь, сделайте музыку тише! 
— Я не жаловался, когда вы вчера громко трахались. 
— Меня вчера не было до... СУКА!"
289,"Встретились два охотника. Один другому: 
— На кого ты собираешься охотиться? 
— На единорогов. 
— Это как? 
— Найду девственницу и заплачу ей. 
Приедем с ней в лес и я привяжу ее к дереву. Через некоторое время придет единорог, тут-то я его и подстрелю. 
— Знаешь, мне кажется, что сейчас их очень трудно найти. Я слышал, конечно, о них, но никогда не видел. По-моему, это все легенды. 
— Так и единорогов тоже не так много!"
290,"Каждый день, возвращаясь домой, Петр читал статус семейного положения жены в 
« Одноклассниках». « Замужем» — значит, все хорошо. « Разведена», то его дома ждет скандал. Но когда он прочитал, что 
« Вдова», то понял, что она прочла его статус."
291,"Никогда не пейте за рулём. Потому что когда в вас врежется тот, кто пишет 
смс за рулём - виноватыми окажетесь вы."
292,"Каждая женщина волшебница. А какой она будет, доброй волшебницей или злой, зависит от того какое животное у нее дома — ласковый кот или гулящий кобель…"
293,"Парень у кассы: 
--"" Девушка, дайте мне одну шоколадку и десять презервативов! ""
Кассирша:
— «За одну шоколадку столько раз не дадут » …"
294,"Купил дачу и столкнулся с тем, что на участке и вокруг постоянно очень много гадюк.
Вычитал в интернете, что гадюки не живут там, где живёт много ежей.
Все лето искал, таскал к себе и прикармливал.
Теперь днём у меня куча гадюк, а ночью — полно ежей, бл@дь!"
295,"Купил дачу и столкнулся с тем, что на участке и вокруг постоянно очень много гадюк.
Вычитал в интернете, что гадюки не живут там, где живёт много ежей.
Все лето искал, таскал к себе и прикармливал.
Теперь днём у меня куча гадюк, а ночью — полно ежей, бл@дь!"
296,"Жена подходит к мужу: 
— Дорогой, наш пылесос сломался! 
— А что с ним? 
— Не сосет! 
— Прям бесит, да?"
297,"И все же реформа МВД была проведена не зря. Вот раньше полуграмотные милиционеры, оборотни в погонах, подбрасывали людям наркотики. А теперь же все изменилось. Теперь это делают честные и высокопрофессиональные полицейские."
298,"Владимир Путин заявил, что в России нет олигархов.
И то верно, что им делать в России летом?"
299,"- Сегодня увидела, как девочка лет 15-ти покупает омолаживающий крем. Ну пипец, мне тогда на пенсию пора!
- Может ей 40, просто крем хороший.."
300,"Сарочка сняла с себя нижнее белье, чем нанесла Моне непоправимую моральную травму, несовместимую с сексом..."
301,Президент Турции поблагодарил грузинские власти за антироссийские заявления в разгар туристического сезона.
302,"У одного мальчика, родители сильно пили, курили и нигде не работали. А у другого, родители были доктора наук, матом не ругались и к обеду переодевались. Первый мальчик вырос, не пьет, не курит, учится в аспирантуре. А второй пошел по второй ходке за гоп-стоп, не хватало на дозу. 

Мораль: Дети, воспитывающиеся в неблагополучных семьях, мечтают вырасти и изменить окружающий их быт. Дети, живущие в тепличных условиях, зачастую становятся неспособными противостоять реалиям окружающей их вне дома действительности. 

Мораль короче: Хрен его знает, как этих детей воспитывать."
303,"Один мальчик хорошо плавал, а другой совсем не умел. Пошли они купаться. Первый заплыл далеко, у него свело ногу и он утонул. А второй плескался рядом с берегом и даже не простудился. 

Мораль: В современном цивилизованном обществе, в отличие от первобытного, умение делать что-либо не добавляет нам шансов выжить, а наоборот подвергает лишнему риску. 

Мораль короче: Не вы*бывайся, целее будешь."
304,"Одна девочка получила в школе пятерку, а другая двойку. Первая возвращалась домой вприпрыжку, упала и сломала ногу. А вторая шла, опустив голову и нашла кошелек с деньгами. 

Мораль: Все события, происходящие в жизни, влекут за собой цепь других событий. Поэтому не стоит переживать по пустякам и впадать в эйфорию от незначительных побед. 

Мораль короче: Хрен его знает, где найдешь, где потеряешь."
305,"Два мальчика, любили одну девочку. Один писал ей стихи и носил портфель. А другой дергал за косички и подкладывал кнопки. На выпускном она дала второму. 

Мораль: Женщины на подсознательном уровне выбирают более решительных и мужественных особей противоположного пола, способных защитить ее и потомство. 

Мораль короче: Хрен этих женщин разберешь."
306,"- Ты думаешь, смысл жизни - это только хорошо поесть?
- Конечно, нет... Еще поспать!"
307,"- Откуда фингал под глазом?
- Из-за девушки подрался!
- С кем?
- С женой..."
308,"На приеме у врача.
- Дружите с алкоголем?
- А чего мне с ним ссорится?"
309,"У нас под окнами люди в спортивных костюмах что-то запихивают в непрозрачный пакет. 
— Сиди тихо и не высовывайся. А то нас либо убьют, либо позовут на субботник."
310,с 1 Ноября начнется розыгрыш голосов в Вконтакте Участвуйте и зарабатывайте реальный расчет Вконтакте.
311,"Если бы , я понимал все шутки , я бы давно умер со смеху... (Участвуйте в голосованиях.)"
312,"Учительница на уроке: 
- Петров, встань и стой до конца урока! 
- Мариванна, а что я сделал? 
- Да ничего, просто за тобой сидит Сидоров, а меня его рожа бесит."
313,"— Кто больше удовлетворен: мужчина, у которого шестеро детей или тот у кого шесть миллионов долларов? 
— Тот, у которого шестеро детей! 
— Почему? 
— У которого шесть миллионов — хочет еще!"
314,"Решил муж избавиться от кота жены. Посадил его в мешок и отнес на 2 км от дома и оставил там. 
С легким сердцем возвращается домой. Подходя к дому, видит: на крыльце сидит кот, его ждет и радостно мурлыкает. Мужик вошел в дикую ярость. 
На следующий день он взял кота и отнес его на 4 км. Опять та же история: кот сидит на пороге и терпеливо ждет. 
Мужик волосы на себе рвет. Думал, думал и решил: взял кота, сел в машину и ехал 10 км прямо, 20 км налево, 7 км на юго-запад и 15 км на северо-восток, бросил кота и уехал. 
Через два часа мужик звонит жене по сотовому: 
— Кот дома? 
— Да, дорогой, пять минут назад вернулся, а почему ты спрашиваешь? 
— Дай мне эту сволочь к телефону — я потерялся…"
315,"Работал мужик еще в 80-х водителем у какого-то большого начальника, ну и, естественно, на черной Волге с рацией. И когда начальник приезжал на какое-нибудь совещание, обычно отпускал водителя побомбить. Как-то раз во время такой бомбежки останавливает его бабка и запыхавшимся голосом просит: 
— Милок, мне в аэропорт, только побыстрей, на самолет в Ташкент опаздываю. Тому что — машина с форсированным движком, с мигалкой и сиреной, как за МКАД выехал — по газам и 150 км. 
Бабка ему: 
— Ой, милок, что ж ты так гонишь, сейчас же взлетим! 
— А что, — говорит тот, — и взлетим! 
Берет микрофон рации и туда: 
— Диспетчерская, говорит борт 55-82 ММК, разрешите вылет на Ташкент! 
А девушка-диспетчер на другом конце тоже оказалась с юмором: 
— Борт 55-82 ММК, взлет разрешаю! 
Водитель глядит в зеркальце — бабка в обмороке! Он останавливает машину, достает аптечку, нашатырь ей под нос. Бабка в себя приходит: 
— Милок, ну нельзя же так шутить! 
Ну и тут он не мог не закончить: 
— Спокойно, бабка, спокойно! Тебе в Ташкенте на какую улицу?"
316,"Папа и сын едут на машине, сын за рулем. 
— Папа, ну как, я уже умею водить? 
— Сынок, а ты видел красивую девушку в мини-юбке на тротуаре? 
— Не-а, не видел. 
— Значит еще не умеешь сынок, не умеешь..."
317,"— Девочка, а девочка! Пошли с нами в поход? 
— А я уже не девочка, я 7 раз в поход ходила."
318,"— Светка, ты не обидишься? 
— Говори уже! 
— Эта кофта тебя слегка полнит. 
— Ааа, я сниму ее!!! ! 
— О боже, как этот лифчик тебя полнит, снимай его скорей!"
319,Ещё 50 грамм инвестиций и я - недвижимость!
320,"- Кого это ты ко мне привела? 
- Это мой будущий первый муж, мама."
321,"От смеха еще никто не умирал, кроме тех, кто пошутил неудачно."
322,Она была отлично сложена. Только левая рука торчала из чемодана
323,"В маршрутке рядом со мной едут две девушки. Одна — другой: 
— Мне кажется, что я замуж никогда не выйду. 
— Да неее Олеська, кто-нибудь да лоханется."
324,"В общественном транспорте едет женщина с детским горшком в одной руке и сумкой в другой. Пробираясь к выходу, тычет горшком впереди стоящего мужчину и говорит: 
— Вы не сходите? 
Тот опускает голову, видит горшок и говорит: 
— Нет, я до дома потерплю."
325,"У нас в стране три вида погоды: грязь, грязь засохла и грязь замерзла!"
326,"Женщина пришла за мясом, а ей предлагают рыбу. Говорят, что в ней много фосфора. А она в ответ: 
— Мне мужа кормить, я хочу, чтобы он у него стоял, а не светился."
327,"— Мне кажется, что моя девушка мне изменяет! Может сводить ее к гинекологу?! 
— Да?! Что ты там увидишь?! Список входящих?!"
328,"Прерия... Полдень... Лев и Львица лежат на солнышке, загорают. Тут подбегает заяц,как зарядит по морде Льву и деру. Лев ноль внимания, Львица в шоке: 
— Лева, ты царь зверей, шо занафиг? Догони да порви его! 
— Ой да ладно, маленький, тупой, фигней страдает. Ничего страшного... 
— Ну, дело твое, ты же царь... 
Через некоторое время история с зайцем повторяется, происходит тот же разговор, ну и так несколько раз... Где то раз на десятый, Львица не выдержав такой наглости рванула за зайцем: туда сюда за ним... 
Наконец, заяц забежал в трубу в холме, ну, Львица за ним, вообщем, там и застряла. Заяц вылез из другого конца трубы и, естесственно, Львицу отимел по полной и был таков. Вскоре, Львице все-таки удалось вырваться, и она вернулась ко Льву: хвост поджат, уши опущены, взгляд потуплен. Лев смотрит на нее, и так подозрительно спрашивает: 
— Что, к трубам водил?"
329,"Мальчик в детском саду внимательно смотрит на маникюр воспитательницы. 
— Ольга Александровна, у Вас такие ногти длинные. 
— Да. Нравится? 
— Нравится. Наверное, по деревьям лазить хорошо..."
330,"Умирающая бабушка зовет внучку и говорит: 
— Внученька я завещаю тебе ферму, там три дома, десять машин, тысяча куриц, ипподром, две тысячи свиней, два магазина. Это все тебе! 
— Бабуля а где эта ферма? 
— Вконтакте, внученька, вконтакте!"
331,"Летят в самолете Кличко, святой отец и первоклассник. Вдруг в самолете что-то случилось с мотором, и он стал падать. На борту всего два парашюта. Кличко говорит: 
– Я самый умный человек, я должен спастись, я нужен народу! 
Надевает парашют и прыгает к народу. Святой отец первокласснику: 
– Я старый, прожил свою жизнь, а тебе еще жизнь познавать, бери парашют и прыгай. 
– Прыгать будем вместе, парашютов два, самый умный человек надел мой портфель."
332,"В общественном туалете дед ковыряется в ширинке... 
— Во блин!!! Молодым был, спрятать не мог... А теперь найти не могу"
333,"Горела свиноферма. Сбежалась вся округа. Кто с чем... кто с кетчупом, кто с пивом, кто с водкой, кто с гормошкой."
334,"Утром жена открывает дверь. На пороге лежит муж. 
— Ты почему не открыла мне дверь, когда я стучал? 
— Я же спрашивала: «Петя, это ты?» Почему ты молчал? 
— Я кивал!"
335,"Наши чиновники отправились по обмену опытом за границу. Их хорошо встретили сидят в бане бухают Хеннеси. Наши в шоке от такого приема. 
— Откуда такие средства? 
— Вон видите мост? 
— Да 
— Вон машина через мост поехала, она принесла доллар к нашему столу...на это и бухаем. 
Проходит год и уже наши чиновники принимают гостей. Встретили классно, бренди, коньяк, икра, девочки. Иностранцы в шоке от такого приема. 
— Откуда такие деньги? 
— Вон видите мост? 
— Нет 
— На это и бухаем..."
336,Самый лучший способ создать малый бизнес: Купи большой и наберись терпения...
337,"Аптекаpь обучает пpактиканта: 
- А из вот этой вот банки мы наливаем лишь тогда, когда почеpк на pецепте совсем уж неpазбоpчивый..."
338,"Чем либералистее либерал, чем монарханутее монархист, чем православнутее православный, тем больше вероятность, что они в прошлом были руководящими комсомольскими работниками."
339,"- Задолбался зубрить, вот бы таблетку такую: съел и всё знаешь!.. 
- Попробуй активированный гуголь."
340,"- Это я не романтичная? А как же все эти свечи на полу? 
- Ты выложила пентаграмму! 
- Но свечи же!"
341,"- Холмс, сегодня я был в клубе молчальников. Представьте себе, один человек там заговорил! 
- И что, его немедленно выставили за дверь? 
- Напротив, наградили бурными аплодисментами! 
- И что же он произнес, Ватсон? 
- Он сказал: ""Ваше виски, господа!"""
342,"Акунин завершил последний роман про Эраста Фандорина. 
- Слабак! - усмехнулась Д. Донцова..."
343,"- Наш дедушка пять раз переписывал завещание. 
- Сам виноват. Нечего было на учительнице русского языка жениться."
344,"И так , Администрация рада вам сообщить . Что данное сообщество начинает работать в прежнем режиме"
345,"Кондуктор в автобусе: 
- Гpaждaнe, нe cтoйтe пoпepeк гopлa, идитe дaльшe пo пищeвoдy - в )!(oпy!"
346,"Отец,заглянув через плечо сына,делающего уроки,строго говорит: 
- Крючочки пиши аккуратнее. 
- Это не крючочки, - отвечает сын.- Это интегралы..."
347,"В парикмахерской. 
- Голову мыть будем? 
- Да чего уж там, купайте всего!"
348,"– Люся, а ты толстой не станешь? 
– Пожрем, увидим"
349,"Ревнивый муж копается в мобильнике жены: 
- ""Так, кто такой будильник""?"
350,"– Девушка, Вас можно пригласить на танец? 
– Трое детей… 
– Аааа… ну отдыхайте, отдыхайте…"
351,"Турист в Шотландии во время экскурсии по озеру Лох - Несс спрашивает гида : 
- Простите,а когда чудовище обычно появляется на поверхности? 
- Обычно после пятого стакана,сэр."
352,"В подворотне. 
 
- Стой, козел! Деньги есть? 
 
- Нет... 
 
- А если найду? 
 
- Буду вам признателен!"
353,"Телефонує програміст: 
— Доброго дня, Катю можна? 
— Вона в архіві. 
— Розархівуйте її, будьласка. Вона мені терміново потрібна."
354,"Жена звонит мужу из командировки? 
- Ты Барсика покормил? 
- Покормил. 
- Чем? 
- Чем-чем… Вискасом! 
- А Рекса покормил? 
- Покормил. 
- Чем? 
- Барсиком… 
- Боюсь спрашивать… Сам хоть что ел?"
355,"Звонок ветеринару: — Сейчас к вам придет моя теща со старой собакой. Так вы сделайте ей укол какого-нибудь самого сильного яду, чтоб не мучилась и сразу померла... Ветеринар: — А собачка одна найдет дорогу домой?"
356,"- Дівчино, вас псує це плаття. 
- Не подобається - можу зняти."
357,"Жінки впевнені, що витривалість чоловіка перевіряється шопінгом."
358,"- Підкажіть, а в якій руці за правилами етикету під час їжі повинен бути смартфон?"
359,"- А ти змогла б все життя прожити з одним чоловіком? 
- Та я-то змогла б. Але мужика шкода."
360,"Лера, я выложил фотку, где ты голая) 
 
-Я тебя убью! Удали немедленно! 
 
Там 699 лайков.... 
 
-Тогда не удаляй!"
361,"Месяц не сидела за рулём,наконец села.Все на дороге орут,руками машут. Соскучились,черти!"
362,"Лікар пацієнтці: 
- Більше бувайте на свіжому повітрі й тепліше одягайтеся. 
Пацієнтка чоловікові: 
- Лікар прописав мені відпочинок на морі та норкову шубу!"
363,"- Я мечтаю зарабатывать по десять тысяч долларов в месяц, как мой отец. 
- Твой отец зарабатывает десять тысяч долларов в месяц? 
- Нет, он тоже об этом мечтает."
364,"Бедная семья. Сидят отец и сын, каpтошку едят. Сын потянулся за каpтошиной и случайно задел бутылку водки, она пошатнулась, но не упала. 
Сын (смеясь): 
— Пап, смотpи, бутылка только что была на волоске от смеpти. 
Отец (стpого): 
— Ты тоже."
365,"Жінка за кермом богиня, пасажири моляться, пішоходи хрестяться."
366,"— Холостые мужики не понимают, какое счастье быть женатым! 
— Кстати, женатые тоже не понимают...."
367,"""180 - 120 - 180. Катя. Шукаю роботу з укладання шпал. Інтим не пропонувати""."
368,"Получая зарплату , Банкомат выдавал какието странные звуки...
Думаю жрал..."
369,"Запис у щоденнику у сина: ""Ваш син дуже любить дівчаток, вживіть заходів..."" 
Відповідь: ""У нашого тата така ж проблема, знайдете рішення, повідомте мені!"""
370,"Любовь слишком жестока. 
Наркотики слишком дороги. 
Спорт слишком скучен. 
Сижу в Интернете..."
371,"Чем старше становишься, тем яснее понимаешь, что день рождения раз в году — не так уж и редко…"
372,"- О, как хорошо пахнет. Вы чем-то надушились? 
- Хорошим настроением!"
373,"возьмите средство для ухода 
и уходите наконец"
374,"- Иссяк, иссяк источник бытия! Нет смысла более в существованье бренном... 
 
- Петрович, опять все из холодильника сожрал? Не выпендривайся, вали в магазин!"
375,"Мать говорит сыну: 
- Hу что ты тянешься через весь стол рукой? У тебя что, языка нет? 
- Есть. Hо рукой я достаю дальше."
376,Минута смеха над начальником отбирает премию за квартал
377,"13:30 — Я тебя не отвлекаю? 
23:59 — Нет."
378,"Гаишник останавливает машину, подходит и спрашивает водителя: 
— Вы знак видели? 
— Видел. 
Гаишник расплывается в доброй улыбке: 
— Сынок мой нарисовал…"
379,"Учительница черчения снялась для Рlауbоу. 
Там были вид сверху, вид снизу и изометрическая проекция на развороте."
380,Жизнь мужчины в браке делится на две части - до того как забыл дома телефон и после.
381,"Не осуждаю девушек с небритыми ногами. Мне рожу брить лень, а тут целая нога… Две! Ну нафиг!"
382,"«Боже мой! Как тесен мир, как тесен! «— радовался врач, назначая гаишнику по шесть клизм в день."
383,"- Это правда? 
- Нет, это новости"
384,"Кот лежит во дворе. Мимо идет хозяйка и говорит: 
- Поел, погулял, поспал, - мне бы такую жизнь. 
Кот думает: 
- Детей моих утопила, жену мою стерилизовала, меня кастрировала... Тебе бы такую жизнь..."
385,"Добре в дитинстві: ні любові тобі не треба, ні самостверджуватися, ні грошей. Сиди жопою в піску і квіти нюхай."
386,"- Ворон ворону глаз не выклюет! 
- Но клюв начистит…"
387,"В Одессе на Привозе три размера одежды: «на вас», «не на вас» и «надо мерить»!"
388,"Маршрутка.Час пик.Мамаша с 5 - летним ребёнком. 
Мамаша : Серёженька,ты ещё живой? 
Сынок (угрюмо) : Ага.Последняя жизнь осталась"
389,"— ""Кошачий корм стал на 20% вкуснее"". Как они это узнали? — Это как раз очень просто. Насыпаем корм, тянем кота от миски. Усилие замеряем динамометром"
390,"Іспит в сільськогосподарському інституті. 
професор : — Чи можна робити аборт корові? 
Студент, з усмішкою: — Ну, професор, ви, мабуть круто попали!"
391,"Начало декабря. 2 часа первой снежной ночи. Очень длинная очередь на шиномонтаж. В очереди железная дисциплина. Иногда ОООЧЕНЬ крутые машины проезжают мимо очереди к боксам. Там они разворачиваются, очень быстро возвращаются и встают в конец очереди. Их гонит не совесть, не злоба других водителей и не монтажники. Их отгоняет объявление на листе формата А4. Текст объявления: 
""Лица с нетрадиционной сексуальной ориентацией обслуживаются ВНЕ ОЧЕРЕДИ. Администрация СТО"""
